n,s,trials,mean_key_comparisons,stddev_key_comparisons,mean_time_ms,median_time_ms,merge_growth_proxy,insertion_growth_proxy,total_growth_proxy
100000,350,10,5858773.60,11668.96,11.3081,11.3225,815842.94,35000000.00,35815842.94
100000,360,10,5858773.60,11668.96,11.3868,11.3603,811778.74,36000000.00,36811778.74
100000,370,10,5858773.60,11668.96,11.2843,11.2787,807825.90,37000000.00,37807825.90
100000,380,10,5858773.60,11668.96,11.3106,11.3227,803978.49,38000000.00,38803978.49
100000,390,10,7644791.80,21556.50,12.8531,12.7489,800231.02,39000000.00,39800231.02
100000,400,10,10641564.10,29872.89,15.2786,15.2379,796578.43,40000000.00,40796578.43
100000,410,10,10641564.10,29872.89,15.1580,15.1599,793016.04,41000000.00,41793016.04
100000,420,10,10641564.10,29872.89,15.1855,15.1956,789539.50,42000000.00,42789539.50
100000,430,10,10641564.10,29872.89,15.1399,15.1174,786144.76,43000000.00,43786144.76
100000,440,10,10641564.10,29872.89,15.2509,15.2635,782828.08,44000000.00,44782828.08
100000,450,10,10641564.10,29872.89,15.1237,15.1573,779585.93,45000000.00,45779585.93
100000,460,10,10641564.10,29872.89,15.0887,15.0916,776415.04,46000000.00,46776415.04
100000,470,10,10641564.10,29872.89,15.0889,15.0831,773312.35,47000000.00,47773312.35
100000,480,10,10641564.10,29872.89,15.1563,15.0968,770274.99,48000000.00,48770274.99
100000,490,10,10641564.10,29872.89,15.0515,15.0643,767300.25,49000000.00,49767300.25
100000,500,10,10641564.10,29872.89,15.1480,15.1470,764385.62,50000000.00,50764385.62
100000,510,10,10641564.10,29872.89,15.0971,15.1126,761528.70,51000000.00,51761528.70
100000,520,10,10641564.10,29872.89,15.1066,15.0689,758727.27,52000000.00,52758727.27
100000,530,10,10641564.10,29872.89,15.1500,15.1339,755979.19,53000000.00,53755979.19
100000,540,10,10641564.10,29872.89,15.0899,15.1096,753282.49,54000000.00,54753282.49
100000,550,10,10641564.10,29872.89,15.0572,15.0823,750635.27,55000000.00,55750635.27
100000,560,10,10641564.10,29872.89,15.0713,15.0840,748035.75,56000000.00,56748035.75
100000,570,10,10641564.10,29872.89,15.1198,15.0734,745482.24,57000000.00,57745482.24
100000,580,10,10641564.10,29872.89,15.1744,15.1440,742973.14,58000000.00,58742973.14
100000,590,10,10641564.10,29872.89,15.1500,15.1438,740506.93,59000000.00,59740506.93
100000,600,10,10641564.10,29872.89,15.1985,15.2049,738082.18,60000000.00,60738082.18
100000,610,10,10641564.10,29872.89,15.1746,15.1945,735697.50,61000000.00,61735697.50
100000,620,10,10641564.10,29872.89,15.2866,15.3061,733351.61,62000000.00,62733351.61
100000,630,10,10641564.10,29872.89,15.1387,15.1182,731043.25,63000000.00,63731043.25
100000,640,10,10641564.10,29872.89,15.1937,15.1834,728771.24,64000000.00,64728771.24
100000,650,10,10641564.10,29872.89,15.2183,15.1679,726534.46,65000000.00,65726534.46
100000,660,10,10641564.10,29872.89,16.0453,15.4977,724331.83,66000000.00,66724331.83
100000,670,10,10641564.10,29872.89,15.3024,15.3054,722162.32,67000000.00,67722162.32
100000,680,10,10641564.10,29872.89,15.3597,15.3881,720024.95,68000000.00,68720024.95
100000,690,10,10641564.10,29872.89,15.2128,15.1996,717918.79,69000000.00,69717918.79
100000,700,10,10641564.10,29872.89,18.3978,15.1992,715842.94,70000000.00,70715842.94
100000,710,10,10641564.10,29872.89,19.5188,18.9978,713796.53,71000000.00,71713796.53
100000,720,10,10641564.10,29872.89,16.1168,15.8228,711778.74,72000000.00,72711778.74
100000,730,10,10641564.10,29872.89,18.0448,15.3749,709788.78,73000000.00,73709788.78
100000,740,10,10641564.10,29872.89,16.0361,15.5036,707825.90,74000000.00,74707825.90
100000,750,10,10641564.10,29872.89,15.3594,15.3957,705889.37,75000000.00,75705889.37
